FIELD1,ds,yhat_lower,yhat_upper,yhat
89,1989-05-24,-3663.7236272218615,4727.133195829772,311.0766037949353
90,1989-05-26,-3624.918381845311,4587.038567068266,321.0321441560303
91,1989-05-29,-3891.104130823318,4564.28557332387,374.19815608520196
92,1989-05-30,-3830.415268588397,4274.788254340856,389.1908499226869
93,1989-05-31,-3880.237449972164,4869.461425838169,384.3933267653198
94,1989-06-01,-3728.0403984480836,4749.47532377644,412.9086490557055
95,1989-06-02,-3906.9078929975576,4444.328322288034,377.6250834108339
96,1989-06-05,-3658.4273044069937,4465.274639014311,402.0806108660803
97,1989-06-06,-3623.7552494288725,4532.809918716483,407.2474169907208
98,1989-06-07,-3693.8174745084284,4510.832439245449,392.7974993268735
99,1989-06-08,-3816.5040771249514,4781.174303657693,412.00969659685995
100,1989-06-09,-3957.5640851271783,4642.936840212102,367.94032441556897
101,1989-06-12,-3720.3687157530985,4379.732222075084,370.6468730277802
102,1989-06-13,-3546.6510839027874,4199.076105924995,370.52527442171686
103,1989-06-14,-3592.504041321755,4606.818261512489,351.9344807021608
104,1989-06-15,-3605.139940898279,4580.052415734994,368.22260744972823
105,1989-06-16,-3717.11460709108,4420.434137791676,322.49309723036754
106,1989-06-19,-3830.4539522722916,4542.783293817317,327.93316214778565
107,1989-06-20,-3792.549541041127,4281.65237170504,331.22501028498016
108,1989-06-21,-3931.060957735851,4352.638658879768,317.2106044042051
109,1989-06-22,-3834.6193019137127,4437.138614718299,339.1555903572638
110,1989-06-23,-3529.8028726941366,4342.876049305172,300.0636833190481
111,1989-06-26,-3757.439811140794,4298.828806943545,330.0919204095353
112,1989-06-27,-4152.976803115423,4124.00745092167,342.68235560874314
113,1989-06-28,-3795.141774362776,4738.416199417821,338.27293594493875
114,1989-06-29,-3891.1076735831766,4843.994221283803,369.9781680823237
115,1989-06-30,-3951.9269884691525,4642.1522131498605,340.6517506362832
116,1989-07-04,-3495.126595769314,4341.498334019456,419.5704151907139
117,1989-07-05,-3483.5125290982264,4027.8872347488787,422.9209747618212
118,1989-07-06,-3504.119423600879,4637.270739177145,461.65288842997893
119,1989-07-07,-3818.4988198322394,4609.863374905846,438.54164179304183
120,1989-07-10,-3832.0771206463587,4442.9229015947085,509.7084477090159
121,1989-07-11,-3594.6092002709443,4337.126663163592,533.2125727362857
122,1989-07-12,-3615.5216078308986,4916.506186690464,538.1200281145798
123,1989-07-13,-3439.421055876739,4657.326354575284,577.4702568012901
124,1989-07-17,-3525.6968144522316,4539.974430911509,619.4389728836743
125,1989-07-18,-3544.1740672025903,4636.08331174939,639.5808215997935
