ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-06-26,14413.389537742298,10032.42607087771,18214.99418285028,14413.389537742298,14413.389537742298,-213.94072825982025,-213.94072825982025,-213.94072825982025,61.636980133376746,61.636980133376746,61.636980133376746,-275.577708393197,-275.577708393197,-275.577708393197,0.0,0.0,0.0,14199.448809482477
2007-06-27,14416.59069088643,9875.796946867667,18401.47039859784,14416.59069088643,14416.59069088643,-222.01245437968203,-222.01245437968203,-222.01245437968203,49.97022283107151,49.97022283107151,49.97022283107151,-271.98267721075354,-271.98267721075354,-271.98267721075354,0.0,0.0,0.0,14194.578236506748
2007-06-28,14419.79184403056,10068.392496543674,18275.805816189153,14419.79184403056,14419.79184403056,-193.91314208997855,-193.91314208997855,-193.91314208997855,73.0449132179084,73.0449132179084,73.0449132179084,-266.958055307887,-266.958055307887,-266.958055307887,0.0,0.0,0.0,14225.87870194058
2007-06-29,14422.992997174693,9964.634040081999,18194.815136357378,14422.992997174693,14422.992997174693,-226.7595600607457,-226.7595600607457,-226.7595600607457,33.77680549061217,33.77680549061217,33.77680549061217,-260.5363655513579,-260.5363655513579,-260.5363655513579,0.0,0.0,0.0,14196.233437113948
2007-07-02,14432.596456607085,10238.103979057876,18422.01841077441,14432.596456607085,14432.596456607085,-178.61766628225405,-178.61766628225405,-178.61766628225405,54.88796756590398,54.88796756590398,54.88796756590398,-233.50563384815803,-233.50563384815803,-233.50563384815803,0.0,0.0,0.0,14253.97879032483
2007-07-03,14435.797609751218,9674.698322761074,18349.023347473874,14435.797609751218,14435.797609751218,-160.5609418005849,-160.5609418005849,-160.5609418005849,61.636980133510704,61.636980133510704,61.636980133510704,-222.1979219340956,-222.1979219340956,-222.1979219340956,0.0,0.0,0.0,14275.236667950634
2007-07-04,14438.998762895348,10266.594843277626,18368.43356978432,14438.998762895348,14438.998762895348,-159.95254543964566,-159.95254543964566,-159.95254543964566,49.970222831021424,49.970222831021424,49.970222831021424,-209.92276827066706,-209.92276827066706,-209.92276827066706,0.0,0.0,0.0,14279.046217455701
2007-07-05,14442.199916039479,10270.334624791398,18398.922989324146,14442.199916039479,14442.199916039479,-123.76075670345732,-123.76075670345732,-123.76075670345732,73.04491321814012,73.04491321814012,73.04491321814012,-196.80566992159743,-196.80566992159743,-196.80566992159743,0.0,0.0,0.0,14318.439159336021
2007-07-06,14445.401069183608,10186.313620363071,18478.20125485324,14445.401069183608,14445.401069183608,-149.20308839736222,-149.20308839736222,-149.20308839736222,33.77680549046495,33.77680549046495,33.77680549046495,-182.9798938878272,-182.9798938878272,-182.9798938878272,0.0,0.0,0.0,14296.197980786246
2007-07-09,14455.004528616004,10148.278207887586,18720.55815885603,14455.004528616004,14455.004528616004,-83.75975693074872,-83.75975693074872,-83.75975693074872,54.88796756599792,54.88796756599792,54.88796756599792,-138.64772449674666,-138.64772449674666,-138.64772449674666,0.0,0.0,0.0,14371.244771685255
2007-07-10,14458.205681760133,10397.886656970923,18627.74624156393,14458.205681760133,14458.205681760133,-61.752066797203405,-61.752066797203405,-61.752066797203405,61.6369801330269,61.6369801330269,61.6369801330269,-123.38904693023031,-123.38904693023031,-123.38904693023031,0.0,0.0,0.0,14396.45361496293
2007-07-11,14461.406834904266,10493.896809227626,18304.35532378416,14461.406834904266,14461.406834904266,-58.14897142519825,-58.14897142519825,-58.14897142519825,49.97022283153094,49.97022283153094,49.97022283153094,-108.11919425672917,-108.11919425672917,-108.11919425672917,0.0,0.0,0.0,14403.257863479068
2007-07-12,14464.607988048396,10367.600414320184,18650.323483018678,14464.607988048396,14464.607988048396,-19.92316400837054,-19.92316400837054,-19.92316400837054,73.04491321765711,73.04491321765711,73.04491321765711,-92.96807722602766,-92.96807722602766,-92.96807722602766,0.0,0.0,0.0,14444.684824040025
2007-07-13,14467.809141192525,10286.253853194436,18439.054340645016,14467.809141192525,14467.809141192525,-44.28109357328079,-44.28109357328079,-44.28109357328079,33.77680549092441,33.77680549092441,33.77680549092441,-78.0578990642052,-78.0578990642052,-78.0578990642052,0.0,0.0,0.0,14423.528047619244
2007-07-16,14477.41260062492,10340.063106345591,18600.682049200634,14477.41260062492,14477.41260062492,19.038020357938205,19.038020357938205,19.038020357938205,54.887967566091895,54.887967566091895,54.887967566091895,-35.84994720815369,-35.84994720815369,-35.84994720815369,0.0,0.0,0.0,14496.45062098286
